Player,Agents,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
WRONSKI,GES,"['kayo', 'jett', 'sage']",203,0.90,188.1,0.81,71%,119.0,0.63,0.49,0.13,0.13,26%,,0/10,23,127,156,99,27,26
Carpe,T1,"['skye', 'breach', 'kayo']",208,0.89,171.3,0.81,73%,108.6,0.60,0.47,0.06,0.12,23%,7%,1/15,20,124,154,98,13,24
cgrs,PRX,['gekko'],20,0.89,176.0,0.93,70%,117.0,0.65,0.10,0.10,0.15,30%,,0/2,13,13,14,2,2,3
xnfri,DFM,"['harbor', 'omen', 'brimstone']",183,0.87,161.1,0.73,75%,107.3,0.54,0.53,0.05,0.09,27%,,0/23,16,99,136,97,9,16
Crws,TLN,"['astra', 'viper', 'brimstone']",177,0.86,195.8,0.76,66%,135.5,0.61,0.41,0.07,0.07,24%,8%,2/24,22,108,142,72,12,13
Lightningfast,GES,['raze'],38,0.83,177.5,0.89,55%,108.7,0.63,0.21,0.18,0.21,20%,,0/1,13,24,27,8,7,8
Sushiboys,TLN,"['killjoy', 'jett', 'viper']",159,0.82,182.5,0.81,62%,118.5,0.64,0.17,0.07,0.08,21%,8%,2/25,16,101,125,27,11,12
foxz,TLN,"['fade', 'sova', 'kayo']",177,0.82,166.0,0.70,63%,111.6,0.54,0.33,0.09,0.08,24%,10%,3/29,17,96,138,58,16,15
ban,T1,"['omen', 'viper', 'jett']",134,0.80,144.9,0.75,66%,94.6,0.53,0.35,0.10,0.10,25%,6%,1/16,14,71,95,47,14,13
JitBoyS,TLN,"['kayo', 'breach', 'raze']",73,0.78,174.3,0.71,64%,116.2,0.60,0.26,0.10,0.12,29%,7%,1/14,14,44,62,19,7,9
